f1_mean,f1_std,f1_min,f1_max,f1_range,f2_mean,f2_std,f2_min,f2_max,f2_range,f3_mean,f3_std,f3_min,f3_max,f3_range,f4_mean,f4_std,f4_min,f4_max,f4_range,f5_mean,f5_std,f5_min,f5_max,f5_range,pitch3_mean,pitch3_std,pitch3_min,pitch3_max,pitch3_range,actividad
23.013636363636362,0.1423678160305984,23.0,25.0,2.0,39.048863636363635,9.610180377625378,26.0,56.0,30.0,31.317045454545454,4.8895231592872745,23.0,40.0,17.0,48.41477272727273,7.830128870597552,29.0,62.0,33.0,25.62159090909091,3.646135839476823,19.0,34.0,15.0,33.36414627097228,119.2880216533756,-179.880099781322,179.570702571951,359.450802353273,000
23.013636363636362,0.1423678160305984,23.0,25.0,2.0,39.04204545454545,9.195073058077812,26.0,54.0,28.0,31.168181818181818,4.619758589091815,23.0,40.0,17.0,48.17045454545455,7.805332662686877,29.0,62.0,33.0,25.338636363636365,3.6289690440005202,18.0,34.0,16.0,37.01632900746896,115.97209458345876,-179.880099781322,179.570702571951,359.450802353273,000
23.345454545454544,1.547351776636831,22.0,29.0,7.0,36.36363636363637,8.142455819767124,24.0,52.0,28.0,30.847727272727273,6.000151082808576,22.0,43.0,21.0,45.976136363636364,9.645211886995606,24.0,63.0,39.0,23.676136363636363,3.9838735809106303,19.0,49.0,30.0,15.188095451008575,103.2138148398112,-178.516460228911,179.627998351464,358.144458580375,000
23.28409090909091,1.5451453567718862,22.0,29.0,7.0,35.54204545454545,7.9258240407674085,24.0,52.0,28.0,30.631818181818183,5.968735694024653,22.0,43.0,21.0,45.002272727272725,9.714094461057455,24.0,63.0,39.0,23.389772727272728,3.7382099439050696,19.0,49.0,30.0,19.02419763974225,101.6255891815994,-178.516460228911,179.765508222296,358.28196845120704,000
23.267045454545453,1.54193072528251,22.0,29.0,7.0,35.2375,7.593909229531496,24.0,52.0,28.0,30.73181818181818,5.772850750290013,22.0,43.0,21.0,44.52272727272727,9.314306289407309,24.0,63.0,39.0,23.180681818181817,3.645400525274201,19.0,49.0,30.0,25.557531203474465,96.8179276369698,-178.516460228911,179.765508222296,358.28196845120704,000
23.0,0.0,23.0,23.0,0.0,36.970454545454544,8.200002204696338,21.0,48.0,27.0,34.18636363636364,6.308493225553904,23.0,41.0,18.0,27.956818181818182,4.140207379921968,23.0,38.0,15.0,25.352272727272727,2.4533825106985767,22.0,33.0,11.0,32.646458034614604,80.86845572839104,-60.4413178083505,149.186750696164,209.62806850451452,000
23.0,0.0,23.0,23.0,0.0,34.45454545454545,8.327267764984628,21.0,48.0,27.0,32.23522727272727,6.548100692232812,23.0,41.0,18.0,26.954545454545453,4.187126078038304,23.0,38.0,15.0,25.647727272727273,2.4389815904075838,21.0,35.0,14.0,46.30646202424121,77.05858032118086,-60.4413178083505,141.348688058774,201.7900058671245,000
23.0,0.0,23.0,23.0,0.0,33.68181818181818,7.672923844961484,21.0,46.0,25.0,31.910227272727273,6.206842627527507,23.0,40.0,17.0,26.39090909090909,3.554690766618243,23.0,36.0,13.0,25.368181818181817,2.2924552862966427,21.0,35.0,14.0,44.135830950040194,78.2873138600067,-60.4413178083505,141.348688058774,201.7900058671245,000
24.411363636363635,2.3565880487274304,23.0,32.0,9.0,45.4125,9.145246063840045,27.0,58.0,31.0,36.55909090909091,6.393438333088719,23.0,46.0,23.0,53.0625,6.476141747353758,33.0,64.0,31.0,31.30909090909091,3.896666301399545,24.0,42.0,18.0,23.279464031802384,94.53376730144166,-178.762832080817,171.543563862168,350.306395942985,000
23.010227272727274,0.3915411776577949,22.0,26.0,4.0,42.95681818181818,11.68363069596388,23.0,58.0,35.0,35.98068181818182,8.486129832563485,22.0,48.0,26.0,50.97386363636364,10.504457866654235,28.0,68.0,40.0,29.075,4.5463584328559055,21.0,44.0,23.0,29.590196981242222,113.23864865304243,-179.467570168828,179.799885690004,359.267455858832,000
23.148863636363636,0.5814351988793488,22.0,26.0,4.0,41.68295454545454,10.881100395461651,24.0,58.0,34.0,35.29772727272727,8.308401789108192,22.0,47.0,25.0,50.37045454545454,9.953027852354884,29.0,68.0,39.0,29.072727272727274,4.438384413088517,21.0,44.0,23.0,53.7248265658135,108.81592774515794,-178.802939126476,179.799885690004,358.60282481648,000
23.21590909090909,0.6699535878830379,22.0,26.0,4.0,42.08863636363636,9.670661251930335,24.0,54.0,30.0,36.18636363636364,7.543317057595084,22.0,45.0,23.0,51.00113636363636,8.708994753573377,29.0,64.0,35.0,28.96818181818182,4.023667070498611,21.0,44.0,23.0,57.57712132314367,101.9171027765292,-178.802939126476,178.464894027349,357.267833153825,000
24.575,1.4828757380662259,23.0,28.0,5.0,43.16818181818182,9.056960475670149,24.0,53.0,29.0,37.79090909090909,7.286781874232591,23.0,46.0,23.0,50.189772727272725,8.047113256723117,28.0,63.0,35.0,29.39318181818182,3.1290354110022123,22.0,37.0,15.0,1.227132357721443,90.86429198743122,-178.132578506173,179.398815233412,357.531393739585,000
24.581818181818182,1.4230685039526905,23.0,28.0,5.0,43.68863636363636,8.968422277106262,24.0,53.0,29.0,38.372727272727275,7.256168649574952,22.0,46.0,24.0,50.961363636363636,8.047210581344064,29.0,63.0,34.0,29.701136363636362,3.2428941310257606,22.0,37.0,15.0,3.6417718329237965,90.66733947315015,-178.132578506173,179.398815233412,357.531393739585,000
24.588636363636365,1.4674832985097166,23.0,28.0,5.0,42.66818181818182,9.680762853282152,24.0,53.0,29.0,37.59090909090909,7.6754276807644155,22.0,46.0,24.0,50.56704545454546,8.621856760462556,28.0,63.0,35.0,29.525,3.2276240205733098,22.0,36.0,14.0,21.313776054389233,94.63204078527848,-179.91447724903,179.702482864831,359.616960113861,000
23.619318181818183,1.0951710072513638,23.0,27.0,4.0,41.81704545454546,9.192483609287796,25.0,53.0,28.0,34.679545454545455,7.143626515530359,23.0,45.0,22.0,48.62840909090909,6.883733277273651,30.0,62.0,32.0,28.34090909090909,2.9820918665974134,23.0,40.0,17.0,27.113404607036244,102.3343887846856,-179.988961762397,179.908747671079,359.897709433476,000
23.601136363636364,1.1031972458373618,23.0,27.0,4.0,42.50340909090909,9.26663061331106,25.0,53.0,28.0,35.05227272727273,7.141555363961615,23.0,45.0,22.0,48.882954545454545,6.878734053570618,30.0,62.0,32.0,28.3875,3.0205475308896625,23.0,40.0,17.0,29.074704248609404,98.29141883390513,-179.988961762397,178.619592632034,358.608554394431,000
23.573863636363637,1.0613021930823108,23.0,27.0,4.0,43.05909090909091,9.266320201819308,25.0,53.0,28.0,35.27840909090909,7.052626023875407,23.0,45.0,22.0,49.30909090909091,6.708197772529661,30.0,62.0,32.0,28.15909090909091,2.859936282015752,23.0,40.0,17.0,28.967958304846107,96.12245254547048,-179.988961762397,177.50805450948,357.497016271877,000
19.360227272727272,10.395738197724096,0.0,31.0,31.0,33.29659090909091,19.89722427457269,0.0,54.0,54.0,27.904545454545456,16.225750501559027,0.0,47.0,47.0,41.825,23.609152934248346,0.0,68.0,68.0,22.05909090909091,11.908597318015444,0.0,41.0,41.0,52.28450833211516,71.24208653299667,-56.4993681778505,145.995375777285,202.4947439551355,000
19.74772727272727,9.902593522460386,0.0,31.0,31.0,33.8625,19.019139955820577,0.0,54.0,54.0,28.57840909090909,15.607566265812729,0.0,47.0,47.0,42.79090909090909,22.625998904938562,0.0,68.0,68.0,22.5375,11.38653323907437,0.0,41.0,41.0,52.58956278183407,72.23919504736817,-56.4993681778505,145.995375777285,202.4947439551355,000
19.111363636363638,10.22325148217379,0.0,31.0,31.0,32.85,19.363690247470906,0.0,54.0,54.0,27.742045454545455,15.939817365148746,0.0,47.0,47.0,41.39090909090909,23.075112707119786,0.0,68.0,68.0,21.751136363636363,11.709286275102938,0.0,41.0,41.0,51.10172160556002,70.69127128491687,-53.720522871466,145.995375777285,199.71589864875102,000
110.08181818181818,0.2740875169396606,110.0,111.0,1.0,35.10568181818182,5.028461222123195,21.0,42.0,21.0,35.654545454545456,4.408795678963018,23.0,41.0,18.0,28.845454545454544,3.6910490345166926,23.0,36.0,13.0,24.02840909090909,1.6645671607491928,20.0,30.0,10.0,38.678414462303124,82.62359840932454,-53.9497059895183,147.410581531258,201.3602875207763,000
